SQL> /

TABLESPACE_NAME TABLE_NAME                            NUM_ROWS AVG_ROW_LEN                          
--------------- ----------------------------------- ---------- -----------     
SCLARGE         PS_VNDR_GOV_CERT                             0           0                          
FNLARGE         PS_PROJ_OB_SCR1                              0           0                          
GCLARGE         PS_GC_TRFL_T1                                0           0                          
BPWORK          PS_BP_JOB_E_DS_T2                            0           0                          
GCWORK          PS_GC_EQ_MNLIA_T                             0           0                          
WAWORK          PS_WA_COMPCODE_T2                            0           0                          
PSIMAGE         PSOPRALSTYPLANG                              0           0                          
PSDEFAULT       VDK_TMP_RECOMMENDATION_10933                 0           0                          
PTTBL           PSSUBDEFN                                   58          89                          
ABWORK          PS_CALC_OBJ_RT_T                             0           0                          
PFAPP           PS_PF_FN_SQL_TBL                             0           0                          
BCWORK          PS_KP_MANLOVRD_T1                            0           0                          
FNLARGE         PS_F_MPR_RENT                                0           0                          
FNLARGE         PS_BD_ASSET_DEPR                             0           0                          
PTTBL           PSWSSERVICE                                  0           0                          
PSDEFAULT       VDK_TMP_SQLHINTREF_5130                      0           0                          
SCLARGE         PS_F_RTV_DIST                                0           0                          
PFAPP           PS_PF_TIMESPAN_AET                           0           0                          
FIWORK          PS_FI_RCN_BS_T3                              0           0                          
FIAPP           PS_FI_BSR_TRPS_SEQ                           0           0                          
HRLARGE         PS_LM_RVW_RTNG_MAP                           0           0                          
FNLARGE         PS_PC_IM_PRIO_LNG                            0           0                          
FNLARGE         PS_E_S_KK_ACT_TYPE                           0           0                          
PSDEFAULT       VDK_TMP_SQLTABLEREF_480                      0           0                          
PSDEFAULT       VDK_TMP_ANALYSIS_615                         0           0                          
EWLARGE         PS_BUS_UNIT_TBL_AP                           0           0                          
CRAPP           PS_CR_AGRMTTYP_D00                           0           0                          
PSDEFAULT       VDK_TMP_SQLTEXT_10817                        0           0                          
FPLARGE         PS_YC_SING_DAT_F00                           0           0                          
WAWORK          PS_WA_RM_DET_C_T3                            0           0                          
HRWORK          PS_E_BDGT_BUS_UNIT                           0           0                          
PSDEFAULT       VDK_TMP_SQLINDEX_525                         0           0                          
FNLARGE         PS_CA_OFF_CAT_T02                            0           0                          
FIWORK          PS_FI_RCN_ACC2_T3                            0           0                          
PSDEFAULT       VDK_TMP_SQLTABLE_603                         0           0                          
FIAPP           PS_FI_CONFIG_SEQ                             0           0                          
EWWORK          PS_COURSE_ENRL_T                             0           0                          
ABWORK          PS_AB_RJBCDPRI_T                             0           0                          
FNLARGE         PS_PCL_TEMP                                  0           0                          
HRLARGE         PS_HRS_APPLICANT                             0           0                          
CRAPP           PS_CRM_BULK_DEDCNT                           0           0                          
PSDEFAULT       VDK_TMP_SQLDEPEND_517                        0           0                          
BPAPP           PS_BP_XRATE_T3                               0           0                          
EWWORK          PS_MD_SOURCE01_T                             0           0                          
FNAPP           PS_L_AR_ITEM_TR_ST                           0           0                          
PSDEFAULT       VDK_TMP_RECOMMENDATION_369                   0           0                          
PSDEFAULT       VDK_TMP_RULE_JOURNAL_357                     0           0                          
PSDEFAULT       VDK_TMP_SQLINDEX_5167                        0           0                          
PSDEFAULT       VDK_TMP_SQLDEPEND_10951                      0           0                          
PFAPP           PS_EPM_SELECT_AET                            0           0                          
FIWORK          PS_FI_FINPOOL3_T                             0           0                          
FIWORK          PS_FI_CCOFSEQ_T3                             0           0                          
